iter	Passed	Remaining
411	3826	5461
412	3836	5453
413	3846	5444
414	3855	5434
415	3864	5425
416	3873	5416
417	3883	5406
418	3891	5396
419	3902	5389
420	3912	5380
421	3921	5371
422	3931	5363
423	3940	5353
424	3950	5345
425	3960	5336
426	3969	5326
427	3978	5317
428	3987	5307
429	3996	5298
430	4005	5287
431	4015	5280
432	4025	5271
433	4034	5261
434	4043	5251
435	4052	5242
436	4062	5233
437	4071	5223
438	4080	5214
439	4088	5203
440	4097	5194
441	4106	5183
442	4115	5174
443	4124	5165
444	4133	5155
445	4142	5145
446	4151	5136
447	4160	5126
448	4169	5116
449	4179	5108
450	4188	5099
451	4199	5090
452	4209	5082
453	4218	5072
454	4227	5063
455	4236	5053
456	4246	5045
457	4256	5036
458	4266	5028
459	4276	5020
460	4286	5011
461	4296	5003
462	4305	4993
463	4315	4985
464	4325	4976
465	4334	4967
466	4345	4959
467	4354	4950
468	4364	4941
469	4374	4933
470	4383	4923
471	4394	4915
472	4403	4905
473	4414	4898
474	4424	4889
475	4432	4879
476	4441	4870
477	4451	4860
478	4462	4853
479	4473	4845
480	4482	4836
481	4492	4828
482	4502	4819
483	4512	4810
484	4522	4802
485	4532	4793
486	4542	4785
487	4551	4775
488	4562	4767
489	4572	4759
490	4581	4749
491	4592	4742
492	4602	4733
493	4612	4724
494	4622	4716
495	4632	4706
496	4642	4698
497	4650	4688
498	4662	4681
499	4672	4672
500	4726	4707
501	4736	4698
502	4746	4689
503	4756	4681
504	4765	4670
505	4774	4661
506	4784	4652
507	4793	4642
508	4802	4632
509	4811	4622
510	4820	4612
511	4829	4603
512	4838	4593
513	4847	4583
514	4856	4573
515	4865	4563
516	4874	4554
517	4883	4544
518	4892	4533
519	4901	4524
520	4910	4514
521	4919	4505
522	4931	4498
523	4942	4490
524	4952	4480
525	4960	4470
526	4969	4460
527	4979	4450
528	4986	4439
529	4995	4430
530	5004	4419
531	5012	4409
532	5022	4400
533	5031	4390
534	5040	4381
535	5050	4371
536	5058	4361
537	5067	4351
538	5076	4341
539	5085	4331
540	5094	4322
541	5102	4311
542	5111	4301
543	5120	4292
544	5129	4282
545	5138	4272
546	5147	4263
547	5157	4253
548	5166	4243
549	5175	4234
550	5183	4224
551	5193	4214
552	5202	4205
553	5211	4195
554	5220	4185
555	5229	4176
556	5238	4166
557	5247	4156
558	5255	4146
559	5265	4136
560	5273	4126
561	5283	4117
562	5292	4107
563	5301	4098
564	5310	4088
565	5319	4078
566	5327	4068
567	5337	4059
568	5345	4049
569	5354	4039
570	5363	4029
571	5372	4019
572	5381	4010
573	5388	3999
574	5397	3989
575	5406	3979
576	5415	3970
577	5424	3960
578	5434	3951
579	5442	3941
580	5451	3931
581	5460	3921
582	5469	3912
583	5478	3902
584	5486	3891
585	5494	3881
586	5503	3872
587	5512	3862
588	5521	3853
589	5530	3843
590	5539	3833
591	5548	3823
592	5557	3814
593	5566	3804
594	5574	3794
595	5583	3784
596	5592	3775
597	5601	3765
598	5610	3755
599	5619	3746
600	5627	3736
601	5636	3726
602	5645	3716
603	5654	3707
604	5663	3697
605	5672	3688
606	5681	3678
607	5690	3669
608	5699	3659
609	5708	3649
610	5717	3640
611	5726	3630
612	5735	3621
613	5745	3611
614	5753	3601
615	5763	3592
616	5772	3583
617	5782	3574
618	5791	3564
619	5800	3554
620	5808	3545
621	5818	3535
622	5827	3526
623	5836	3516
624	5846	3508
625	5856	3498
626	5865	3489
627	5874	3479
628	5885	3471
629	5895	3462
630	5905	3453
631	5915	3444
632	5925	3435
633	5935	3426
634	5945	3417
635	5954	3408
636	5965	3399
637	5974	3389
638	5985	3381
639	5995	3372
640	6004	3363
641	6015	3354
642	6024	3344
643	6034	3335
644	6044	3326
645	6053	3317
646	6064	3308
647	6075	3300
648	6086	3291
649	6097	3283
650	6105	3273
651	6117	3265
652	6130	3257
653	6139	3248
654	6151	3240
655	6165	3233
656	6177	3225
657	6191	3217
658	6201	3209
659	6212	3200
660	6221	3190
661	6231	3181
662	6242	3173
663	6251	3163
664	6262	3154
665	6271	3145
666	6282	3136
667	6292	3127
668	6301	3118
669	6313	3109
670	6324	3100
671	6334	3091
672	6345	3083
673	6354	3073
674	6364	3064
675	6374	3055
676	6384	3046
677	6395	3037
678	6404	3027
679	6414	3018
680	6426	3010
681	6435	3000
682	6445	2991
683	6455	2982
684	6466	2973
685	6478	2965
686	6486	2955
687	6497	2946
688	6508	2937
689	6517	2928
690	6528	2919
691	6539	2910
692	6548	2900
693	6558	2891
694	6567	2882
695	6577	2872
696	6586	2863
697	6597	2854
698	6607	2845
699	6616	2835
700	6626	2826
701	6635	2816
702	6644	2807
703	6653	2797
704	6662	2787
705	6671	2778
706	6680	2768
707	6689	2759
708	6698	2749
709	6707	2739
710	6716	2729
711	6725	2720
712	6734	2710
713	6743	2701
714	6752	2691
715	6761	2682
716	6771	2672
717	6779	2662
718	6788	2652
719	6796	2643
720	6805	2633
721	6814	2623
722	6823	2614
723	6832	2604
724	6843	2595
725	6852	2586
726	6861	2576
727	6870	2567
728	6879	2557
729	6888	2547
730	6897	2538
731	6906	2528
732	6915	2519
